"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
2563,"mif king hig niss","coda","AE->F; IH->S","IH","FS"
451,"miss ning hif ghik","coda","AE->F; IH->S","IH","FS"
2747,"kim hiss ghif ning","coda","AE->F; IH->S","IH","FS"
2337,"ghim fin hing kiss","coda","AE->F; IH->S","IH","FS"
2843,"hik ning ghiss fim","coda","AE->F; IH->S","IH","FS"
1308,"kim hiss ghing fin","coda","AE->F; IH->S","IH","FS"
2401,"hing fiss kig min","coda","AE->F; IH->S","IH","FS"
590,"mig niss king hif","coda","AE->F; IH->S","IH","FS"
605,"ghim hik ning fiss","coda","AE->F; IH->S","IH","FS"
2965,"hig fing kin miss","coda","AE->F; IH->S","IH","FS"
1466,"hik min ghing fiss","coda","AE->F; IH->S","IH","FS"
1578,"hif ghik miss ning","coda","AE->F; IH->S","IH","FS"
1570,"hing ghin mif kiss","coda","AE->F; IH->S","IH","FS"
2899,"ghiss him fin king","coda","AE->F; IH->S","IH","FS"
1087,"hing miss ghif nik","coda","AE->F; IH->S","IH","FS"
429,"hing mik ghiss fin","coda","AE->F; IH->S","IH","FS"
738,"kiss fing hig nim","coda","AE->F; IH->S","IH","FS"
1916,"kim fing hig niss","coda","AE->F; IH->S","IH","FS"
332,"kif ghing hiss min","coda","AE->F; IH->S","IH","FS"
2209,"king min hiss ghif","coda","AE->F; IH->S","IH","FS"
2227,"hiss fing nim ghik","coda","AE->F; IH->S","IH","FS"
865,"kin mif hiss ghing","coda","AE->F; IH->S","IH","FS"
2052,"kig ning mif hiss","coda","AE->F; IH->S","IH","FS"
476,"hik niss fing ghim","coda","AE->F; IH->S","IH","FS"
2892,"ning mif hiss ghik","coda","AE->F; IH->S","IH","FS"
3065,"fig hin kiss ming","coda","AE->F; IH->S","IH","FS"
1075,"hig miss fik ning","coda","AE->F; IH->S","IH","FS"
330,"king min hig fiss","coda","AE->F; IH->S","IH","FS"
1692,"kif ming hiss ghin","coda","AE->F; IH->S","IH","FS"
2555,"ning fim ghik hiss","coda","AE->F; IH->S","IH","FS"
248,"ghin ming hiss fik","coda","AE->F; IH->S","IH","FS"
806,"hik ghiss ming fin","coda","AE->F; IH->S","IH","FS"
2783,"fim niss hing ghik","coda","AE->F; IH->S","IH","FS"
1160,"hiss ghing mik nif","coda","AE->F; IH->S","IH","FS"
1588,"nik ghiss hif ming","coda","AE->F; IH->S","IH","FS"
91,"ghing miss fin hik","coda","AE->F; IH->S","IH","FS"
88,"ghiss kif min hing","coda","AE->F; IH->S","IH","FS"
1531,"ghiss fing him kin","coda","AE->F; IH->S","IH","FS"
1528,"ming hiss fin kig","coda","AE->F; IH->S","IH","FS"
314,"hik fiss ning mig","coda","AE->F; IH->S","IH","FS"
1313,"hiss fik ning ghim","coda","AE->F; IH->S","IH","FS"
1975,"ghin kim fiss hing","coda","AE->F; IH->S","IH","FS"
413,"hig king fim niss","coda","AE->F; IH->S","IH","FS"
710,"ghing mik niss hif","coda","AE->F; IH->S","IH","FS"
666,"hik ghing nif miss","coda","AE->F; IH->S","IH","FS"
2222,"kig fin hiss ming","coda","AE->F; IH->S","IH","FS"
2106,"fing kiss hig min","coda","AE->F; IH->S","IH","FS"
1491,"hik fing ghiss min","coda","AE->F; IH->S","IH","FS"
877,"nik fiss hing ghim","coda","AE->F; IH->S","IH","FS"
1674,"nik fig miss hing","coda","AE->F; IH->S","IH","FS"
1140,"mig king nif hiss","coda","AE->F; IH->S","IH","FS"
692,"king hin fig miss","coda","AE->F; IH->S","IH","FS"
2063,"him niss fing kig","coda","AE->F; IH->S","IH","FS"
1270,"kig fim hiss ning","coda","AE->F; IH->S","IH","FS"
1273,"fik niss ghing him","coda","AE->F; IH->S","IH","FS"
2789,"hang gass nam kaf","coda","AE->S; IH->F","AE","FS"
2810,"ham gang nass fak","coda","AE->S; IH->F","AE","FS"
358,"kam fass hang gan","coda","AE->S; IH->F","AE","FS"
1457,"fang hass man gak","coda","AE->S; IH->F","AE","FS"
757,"nak gass mang haf","coda","AE->S; IH->F","AE","FS"
2193,"man fang kag hass","coda","AE->S; IH->F","AE","FS"
141,"hak gass naf mang","coda","AE->S; IH->F","AE","FS"
1283,"haf gass kam nang","coda","AE->S; IH->F","AE","FS"
512,"gaf mang nass hak","coda","AE->S; IH->F","AE","FS"
1389,"fass mak han gang","coda","AE->S; IH->F","AE","FS"
1539,"mak gass fang han","coda","AE->S; IH->F","AE","FS"
1062,"hang nag kam fass","coda","AE->S; IH->F","AE","FS"
11,"maf gang kass han","coda","AE->S; IH->F","AE","FS"
2537,"kan gass hang fam","coda","AE->S; IH->F","AE","FS"
1222,"mang hag kan fass","coda","AE->S; IH->F","AE","FS"
1961,"nag fass ham kang","coda","AE->S; IH->F","AE","FS"
2694,"han kaf mass gang","coda","AE->S; IH->F","AE","FS"
641,"naf gam hang kass","coda","AE->S; IH->F","AE","FS"
1264,"nang fam kag hass","coda","AE->S; IH->F","AE","FS"
162,"gang fan hass kam","coda","AE->S; IH->F","AE","FS"
2320,"mang han fak gass","coda","AE->S; IH->F","AE","FS"
1405,"gang mak fan hass","coda","AE->S; IH->F","AE","FS"
166,"hass nam fang kag","coda","AE->S; IH->F","AE","FS"
2168,"han fass gam kang","coda","AE->S; IH->F","AE","FS"
458,"fass kam gan hang","coda","AE->S; IH->F","AE","FS"
2296,"hag mang nak fass","coda","AE->S; IH->F","AE","FS"
2314,"han gang fam kass","coda","AE->S; IH->F","AE","FS"
2981,"gak hang fass man","coda","AE->S; IH->F","AE","FS"
556,"hag fass kang man","coda","AE->S; IH->F","AE","FS"
1888,"hag kass nam fang","coda","AE->S; IH->F","AE","FS"
422,"haf nass mag kang","coda","AE->S; IH->F","AE","FS"
1815,"naf ham gass kang","coda","AE->S; IH->F","AE","FS"
1143,"naf kang hass mag","coda","AE->S; IH->F","AE","FS"
2628,"maf gass kan hang","coda","AE->S; IH->F","AE","FS"
1603,"mag nass kaf hang","coda","AE->S; IH->F","AE","FS"
1814,"fak hang gam nass","coda","AE->S; IH->F","AE","FS"
526,"nang gaf mak hass","coda","AE->S; IH->F","AE","FS"
2156,"gang nam hak fass","coda","AE->S; IH->F","AE","FS"
1255,"haf nass gam kang","coda","AE->S; IH->F","AE","FS"
1148,"fam gass han kang","coda","AE->S; IH->F","AE","FS"
2624,"kang haf nass mag","coda","AE->S; IH->F","AE","FS"
2894,"nam hak gass fang","coda","AE->S; IH->F","AE","FS"
257,"gak haf nass mang","coda","AE->S; IH->F","AE","FS"
614,"gass hang nak maf","coda","AE->S; IH->F","AE","FS"
2614,"fang hass gam nak","coda","AE->S; IH->F","AE","FS"
